model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
2pl_latent_reg_irt	531	0.008	63897	5.40	63456	5.3	134556	7.94	""
GLMM1_model	237	0.004	9817	1.01	35366	3.2	35558	1.68	""
GLMM_Poisson_model	45	0.001	636	0.17	105581	3.7	2412	0.69	""
GLM_Binomial_model	3	0.001	812	0.05	15358	3.2	1809	0.21	""
GLM_Poisson_model	4	0.001	355	0.06	31596	3.2	2008	0.24	""
M0_model	2	0.002	4448	0.07	9830	2.7	15595	0.37	""
Mb_model	3	0.018	41593	0.96	12841	3.2	49570	1.15	""
Mh_model	388	0.006	14853	1.10	43487	3.2	38956	2.66	""
Mt_model	4	0.002	4487	0.08	12386	3.4	19984	0.48	""
Mtbh_model	154	0.016	12966	1.02	33662	4.9	42791	2.38	""
Mth_model	394	0.018	23669	2.35	37338	4.2	93922	5.43	""
Rate_1_model	1	0.000	69	0.01	7253	2.3	260	0.15	""
Rate_2_model	2	0.000	127	0.02	9125	2.5	561	0.23	""
Rate_3_model	1	0.000	88	0.01	7161	2.4	268	0.18	""
Rate_4_model	2	0.000	104	0.02	11199	2.4	311	0.17	""
Rate_5_model	1	0.000	86	0.02	6909	2.4	262	0.19	""
Survey_model	1	0.006	53878	1.12	13438	2.9	61578	1.14	""
accel_gp	66	0.006	4430	8.71	1649789	5.3	9532	16.99	""
accel_splines	82	0.004	4632	10.63	1882594	4.3	10584	19.74	""
arK	7	0.002	1659	0.13	59533	2.8	12459	0.97	""
arma11	4	0.002	4228	0.08	13773	2.9	6158	0.26	""
blr	6	0.001	503	0.04	37164	3.1	1728	0.21	""
bones_model	13	0.011	40328	0.71	16342	3.4	51501	1.31	""
bym2_offset_only	3845	0.002	35567	12.81	189728	4.1	114620	23.40	""
covid19imperial_v2	51	0.631	230798	120.45	492590	6.7	345937	176.00	""
covid19imperial_v3	51	0.632	230350	120.52	492590	6.7	342943	175.70	""
diamonds	26	0.022	31034	49.95	1585024	3.4	31497	48.55	""
dogs	3	0.022	7416	0.53	22582	3.5	63747	2.39	""
dogs_hierarchical	2	0.012	13692	0.24	11244	2.7	34053	0.68	""
dogs_log	2	0.022	8059	0.47	14883	3.2	41387	1.01	""
dogs_nonhierarchical	65	0.014	15359	0.92	45830	6.8	40588	2.86	""
dugongs_model	4	0.001	528	0.05	37938	3.0	1653	0.25	""
earn_height	3	0.001	4055	0.71	160350	2.7	10866	1.86	""
eight_schools_centered	10	0.000	220	0.04	39207	2.9	314	0.19	""
eight_schools_noncentered	10	0.001	195	0.03	22970	3.2	745	0.20	""
election88_full	90	0.183	224489	105.00	466946	3.9	901961	468.15	""
garch11	4	0.002	6899	0.20	23868	2.8	9664	0.43	""
gp_pois_regr	13	0.001	5238	1.58	281332	5.4	3935	1.47	""
gp_regr	3	0.001	5603	0.09	11532	5.2	4698	0.23	""
gpcm_latent_reg_irt	530	0.089	122226	9.30	69830	5.0	1337651	161.93	""
grsm_latent_reg_irt	408	0.029	69589	4.86	61542	4.9	762133	66.92	""
hier_2pl	669	0.006	192664	12.46	55005	6.5	397603	26.82	""
hierarchical_gp	933	0.013	36665	15.92	361335	8.6	47565	17.20	""
hmm_drive_0	6	0.091	105456	3.00	26245	4.5	132850	3.65	""
hmm_drive_1	6	0.092	109211	4.32	36716	4.7	147829	6.94	""
hmm_example	4	0.021	15458	0.49	26078	4.0	27145	1.00	""
hmm_gaussian	14	0.273	164538	322.50	1674270	4.6	263917	18.75	""
iohmm_reg	29	0.446	162271	153.96	472180	5.7	320335	181.23	""
irt_2pl	144	0.001	16444	1.27	62634	3.9	37468	2.17	""
kidscore_interaction	5	0.001	2460	0.50	173237	2.9	9927	1.90	""
kidscore_interaction_c	5	0.001	2455	0.07	19847	2.9	10333	0.39	""
kidscore_interaction_c2	5	0.001	2443	0.08	22025	2.8	9901	0.40	""
kidscore_interaction_z	5	0.001	2434	0.10	30147	2.9	10013	0.47	""
kidscore_mom_work	5	0.001	2445	0.12	36574	2.8	9959	0.64	""
kidscore_momhs	3	0.001	1507	0.06	22536	2.7	4483	0.30	""
kidscore_momhsiq	4	0.001	1982	0.23	94134	2.8	7145	0.84	""
